Abstract Node,Google Node
Managing/Monitoring_Model,Vertex_AI_Model_Monitor
Model_Deployment,Vertex_AI_Prediction
Cloud_Storage,Google_Cloud_Storage
Model_Serving,Vertex_AI_Prediction
CI/CD_steps,Cloud_Build
Triggers/Scheduler,Triggers/Scheduler_Google
Model_Registry,Vertex_AI_Model_Registry
Source_Code_Repo,Cloud_Source_Repositories
CI/CD_Pipeline,CI/CD_Vertex_AI_Pipeline
Model_Release/Deployment,Model_Deployment_and_Monitoring
Data_Processing,Dataflow
Workspace,Vertex_AI_Workbench
User,GCP_User
Train_and_Evaluate,Vertex_AI_Train_and_Evaluate
Training/Retraining_Pipeline,Vertex_AI_Training/Retraining_Pipeline
Artifact_Registry,GCP_Artifact_Registry
